"";"Otros";"Comercio";"Industria";"Construccion";"Financiero";"Admon Publica";"Agricultura";"Medicina";"Cuarentena";"GastoPublico";"InversionSalud";"Pruebas";"ContactTracing";"PI";"Enforcement";"Tapabocas";"%PoblacionLibre"
"Sector7231";1;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,7396;0,2775
"Sector17";0;0;0;0;0;0;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,3452529
"Sector27";0;0;0;0;0;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,4073898
"Sector37";0;0;0;0;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,4152018
"Sector47";0;0;0;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,43734
"Sector57";0;0;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,4719837
"Sector67";0;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,575058
"Sector77";1;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,7;0,9216;0,93
"Sector115";0;0;0;0;0;0;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,3251405
"Sector215";0;0;0;0;0;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,359661
"Sector315";0;0;0;0;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,364001
"Sector415";0;0;0;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,3763
"Sector515";0;0;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,3955465
"Sector615";0;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,45281
"Sector715";1;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,7;0,9216;0,65
"Sector125";0;0;0;0;0;0;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,30754215
"Sector225";0;0;0;0;0;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,3178983
"Sector325";0;0;0;0;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,3192003
"Sector425";0;0;0;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,32289
"Sector525";0;0;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,32866395
"Sector625";0;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,345843
"Sector725";1;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,7;0,9216;0,405
"Sector132";0;0;0;0;0;0;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3452529
"Sector232";0;0;0;0;0;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,4073898
"Sector332";0;0;0;0;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,4152018
"Sector432";0;0;0;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,43734
"Sector532";0;0;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,4719837
"Sector632";0;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,575058
"Sector732";1;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,93
"Sector1112";0;0;0;0;0;0;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3251405
"Sector2112";0;0;0;0;0;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,359661
"Sector3112";0;0;0;0;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,364001
"Sector4112";0;0;0;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3763
"Sector5112";0;0;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3955465
"Sector6112";0;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,45281
"Sector7112";1;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,65
"Sector1212";0;0;0;0;0;0;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,30754215
"Sector2212";0;0;0;0;0;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3178983
"Sector3212";0;0;0;0;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,3192003
"Sector4212";0;0;0;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,32289
"Sector5212";0;0;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,32866395
"Sector6212";0;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,345843
"Sector7212";1;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,7;0,9216;0,405
"Sector142";0;0;0;0;0;0;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3452529
"Sector242";0;0;0;0;0;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,4073898
"Sector342";0;0;0;0;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,4152018
"Sector442";0;0;0;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,43734
"Sector542";0;0;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,4719837
"Sector642";0;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,575058
"Sector742";1;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,93
"Sector1122";0;0;0;0;0;0;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3251405
"Sector2122";0;0;0;0;0;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,359661
"Sector3122";0;0;0;0;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,364001
"Sector4122";0;0;0;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3763
"Sector5122";0;0;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3955465
"Sector6122";0;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,45281
"Sector7122";1;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,65
"Sector1222";0;0;0;0;0;0;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,30754215
"Sector2222";0;0;0;0;0;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3178983
"Sector3222";0;0;0;0;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,3192003
"Sector4222";0;0;0;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,32289
"Sector5222";0;0;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,32866395
"Sector6222";0;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,345843
"Sector7222";1;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,7;0,9216;0,405
"Sector152";0;0;0;0;0;0;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,3452529
"Sector252";0;0;0;0;0;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,4073898
"Sector352";0;0;0;0;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,4152018
"Sector452";0;0;0;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,43734
"Sector552";0;0;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,4719837
"Sector652";0;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,575058
"Sector752";1;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,7;0,9216;0,93
"Sector1132";0;0;0;0;0;0;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,3251405
"Sector2132";0;0;0;0;0;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,359661
"Sector3132";0;0;0;0;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,364001
"Sector4132";0;0;0;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,3763
"Sector5132";0;0;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,3955465
"Sector6132";0;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,45281
"Sector7132";1;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,7;0,9216;0,65
"Sector1232";0;0;0;0;0;0;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,30754215
"Sector2232";0;0;0;0;0;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,3178983
"Sector3232";0;0;0;0;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,3192003
"Sector4232";0;0;0;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,32289
"Sector5232";0;0;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,32866395
"Sector6232";0;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,345843
"Sector7232";1;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,9216;0,405
"Sector161";0;0;0;0;0;0;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,20494995
"Sector261";0;0;0;0;0;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,2804019
"Sector361";0;0;0;0;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,2898879
"Sector461";0;0;0;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,31677
"Sector561";0;0;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,35883735
"Sector661";0;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,483999
"Sector761";1;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,9216;0,915
"Sector1141";0;0;0;0;0;0;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,18052775
"Sector2141";0;0;0;0;0;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,2224455
"Sector3141";0;0;0;0;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,2277155
"Sector4141";0;0;0;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,24265
"Sector5141";0;0;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,26602075
"Sector6141";0;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,335555
"Sector7141";1;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,9216;0,575
"Sector1241";0;0;0;0;0;0;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,159158325
"Sector2241";0;0;0;0;0;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,17173365
"Sector3241";0;0;0;0;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,17331465
"Sector4241";0;0;0;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,177795
"Sector5241";0;0;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,184806225
"Sector6241";0;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,2056665
"Sector7241";1;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,9216;0,2775
"Sector1311";0;0;0;0;0;0;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,20494995
"Sector2311";0;0;0;0;0;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,2804019
"Sector3311";0;0;0;0;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,2898879
"Sector4311";0;0;0;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,31677
"Sector5311";0;0;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,35883735
"Sector6311";0;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,483999
"Sector7311";1;1;1;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,915
"Sector11111";0;0;0;0;0;0;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,18052775
"Sector21111";0;0;0;0;0;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,2224455
"Sector31111";0;0;0;0;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,2277155
"Sector41111";0;0;0;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,24265
"Sector51111";0;0;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,26602075
"Sector61111";0;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,335555
"Sector71111";1;1;1;1;1;1;1;1;0,5;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,575
"Sector12111";0;0;0;0;0;0;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,159158325
"Sector22111";0;0;0;0;0;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,17173365
"Sector32111";0;0;0;0;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,17331465
"Sector42111";0;0;0;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,177795
"Sector52111";0;0;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,184806225
"Sector62111";0;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,2056665
"Sector72111";1;1;1;1;1;1;1;1;0,85;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,9216;0,2775
"Sector1411";0;0;0;0;0;0;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,20494995
"Sector2411";0;0;0;0;0;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,2804019
"Sector3411";0;0;0;0;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,2898879
"Sector4411";0;0;0;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,31677
"Sector5411";0;0;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,35883735
"Sector6411";0;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,483999
"Sector7411";1;1;1;1;1;1;1;1;0,1;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,915
"Sector11211";0;0;0;0;0;0;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,18052775
"Sector21211";0;0;0;0;0;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,2224455
"Sector31211";0;0;0;0;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,2277155
"Sector41211";0;0;0;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,24265
"Sector51211";0;0;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,26602075
"Sector61211";0;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,335555
"Sector71211";1;1;1;1;1;1;1;1;0,5;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,575
"Sector12211";0;0;0;0;0;0;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,159158325
"Sector22211";0;0;0;0;0;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,17173365
"Sector32211";0;0;0;0;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,17331465
"Sector42211";0;0;0;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,177795
"Sector52211";0;0;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,184806225
"Sector62211";0;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,2056665
"Sector72211";1;1;1;1;1;1;1;1;0,85;23,3333333333333;5,73333333333333;11000;1;0,8;0,85;0,9216;0,2775
"Sector1511";0;0;0;0;0;0;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,20494995
"Sector2511";0;0;0;0;0;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,2804019
"Sector3511";0;0;0;0;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,2898879
"Sector4511";0;0;0;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,31677
"Sector5511";0;0;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,35883735
"Sector6511";0;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,483999
"Sector7511";1;1;1;1;1;1;1;1;0,1;25;6,6;14000;1;0,9;0,85;0,9216;0,915
"Sector11311";0;0;0;0;0;0;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,18052775
"Sector21311";0;0;0;0;0;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,2224455
"Sector31311";0;0;0;0;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,2277155
"Sector41311";0;0;0;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,24265
"Sector51311";0;0;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,26602075
"Sector61311";0;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,335555
"Sector71311";1;1;1;1;1;1;1;1;0,5;25;6,6;14000;1;0,9;0,85;0,9216;0,575
"Sector12311";0;0;0;0;0;0;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,159158325
"Sector22311";0;0;0;0;0;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,17173365
"Sector32311";0;0;0;0;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,17331465
"Sector42311";0;0;0;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,177795
"Sector52311";0;0;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,184806225
"Sector62311";0;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,2056665
"Sector72311";1;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,85;0,9216;0,2775
